epoch,train_loss,train_acc,val_loss,val_acc,time_sec
1,1.122995,0.529167,0.837143,0.672000,0.39
2,0.872445,0.717000,0.672879,0.758000,0.38
3,0.795271,0.783083,0.594349,0.805000,0.38
4,0.754985,0.823417,0.554322,0.821500,0.38
5,0.734665,0.839250,0.533779,0.848500,0.38
6,0.725220,0.847500,0.525200,0.858000,0.38
7,0.709485,0.863583,0.485307,0.883000,0.38
8,0.691925,0.881667,0.462320,0.893000,0.38
9,0.683098,0.886833,0.449206,0.897000,0.38
10,0.678904,0.889750,0.442443,0.902000,0.39
11,0.676592,0.892167,0.439422,0.901500,0.38
12,0.675585,0.892583,0.437592,0.901500,0.39
13,0.674262,0.892750,0.430694,0.906500,0.38
14,0.672220,0.894750,0.426893,0.904000,0.38
15,0.670499,0.895917,0.423968,0.906000,0.39
16,0.669740,0.895917,0.421575,0.908000,0.38
17,0.669189,0.896917,0.420861,0.908500,0.38
18,0.668874,0.897250,0.420565,0.908000,0.38
19,0.669101,0.897167,0.418879,0.907000,0.39
20,0.668809,0.896083,0.417532,0.907000,0.39
