epoch,train_loss,train_acc,val_loss,val_acc,time_sec
1,1.091828,0.569583,0.547684,0.914500,21.05
2,0.612711,0.910667,0.340087,0.932000,20.87
3,0.563868,0.920167,0.300408,0.935000,20.84
4,0.553594,0.921833,0.291624,0.941000,20.93
5,0.549299,0.922750,0.285786,0.940000,20.84
6,0.547264,0.923833,0.283094,0.937000,20.82
7,0.544596,0.923333,0.275975,0.940000,20.80
8,0.539257,0.926333,0.269995,0.942500,20.81
9,0.534656,0.927417,0.265619,0.942000,20.82
10,0.531372,0.929667,0.262288,0.943000,20.83
11,0.528893,0.930417,0.258955,0.944000,20.80
12,0.527339,0.930667,0.257637,0.943500,20.82
13,0.525511,0.929750,0.258431,0.948000,20.90
14,0.520931,0.931250,0.250603,0.948000,20.88
15,0.517538,0.931833,0.250239,0.946500,20.89
16,0.515391,0.931333,0.251603,0.947000,20.91
17,0.514167,0.931833,0.247825,0.946500,20.93
18,0.513446,0.932250,0.248094,0.948000,20.93
19,0.513262,0.931500,0.244326,0.948000,20.91
20,0.512102,0.931000,0.245812,0.946500,20.95
