epoch,train_loss,train_acc,val_loss,val_acc,time_sec
1,0.550756,0.935583,0.214861,0.965500,3.81
2,0.460116,0.972250,0.192810,0.973500,3.81
3,0.450215,0.976167,0.188985,0.978500,3.80
4,0.445876,0.977750,0.183291,0.977500,3.80
5,0.442936,0.978750,0.181305,0.978000,3.80
6,0.441610,0.979000,0.181857,0.979500,3.80
7,0.441793,0.978417,0.177038,0.978500,3.80
8,0.437883,0.980833,0.175382,0.980000,3.80
9,0.435909,0.980000,0.178593,0.978500,3.80
10,0.434200,0.981083,0.171311,0.979500,3.82
11,0.433306,0.981083,0.173208,0.980000,3.80
12,0.432558,0.981417,0.171567,0.980000,3.80
13,0.433385,0.980750,0.172377,0.979500,3.80
14,0.432423,0.981000,0.172605,0.981000,3.80
15,0.431162,0.981000,0.172014,0.980500,3.80
16,0.430328,0.981417,0.167188,0.979500,3.81
17,0.429491,0.981833,0.170274,0.980500,3.81
18,0.429042,0.981917,0.171175,0.980500,3.81
19,0.430822,0.981000,0.168477,0.979000,3.81
20,0.429514,0.981000,0.166603,0.978500,3.80
