epoch,train_loss,train_acc,val_loss,val_acc,time_sec
1,0.499935,0.949000,0.152555,0.977000,3.97
2,0.403371,0.977417,0.141253,0.980000,3.94
3,0.398493,0.979417,0.134513,0.981000,3.95
4,0.394319,0.982500,0.133818,0.982000,3.96
5,0.391173,0.982917,0.132074,0.983000,3.93
6,0.388994,0.983167,0.133415,0.983000,3.93
7,0.393846,0.981667,0.131487,0.981500,3.93
8,0.392270,0.982333,0.138144,0.982000,3.93
9,0.389165,0.983500,0.140756,0.980000,3.93
10,0.386524,0.984667,0.132903,0.980000,3.94
11,0.384035,0.985500,0.133025,0.981000,3.94
12,0.382515,0.986083,0.130922,0.983000,3.94
13,0.388461,0.984000,0.132488,0.981500,3.94
14,0.384999,0.985500,0.134966,0.982500,3.94
15,0.383250,0.985333,0.132669,0.983000,3.94
