epoch,train_loss,train_acc,val_loss,val_acc,time_sec
1,1.192765,0.532833,0.965804,0.702500,4.29
2,0.925240,0.718083,0.755133,0.749500,4.26
3,0.829966,0.760667,0.684115,0.769500,4.27
4,0.801037,0.775500,0.657918,0.770000,4.25
5,0.790672,0.780750,0.645869,0.776500,4.25
6,0.786551,0.781417,0.641115,0.777000,4.29
7,0.780867,0.785417,0.622342,0.779000,4.24
8,0.773701,0.788667,0.612574,0.779000,4.24
9,0.769512,0.792667,0.606416,0.780000,4.23
10,0.766190,0.794000,0.602828,0.781500,4.23
11,0.764174,0.794500,0.600931,0.782500,4.25
12,0.762925,0.794500,0.600348,0.784000,4.26
13,0.761349,0.795750,0.595938,0.787000,4.24
14,0.757538,0.797167,0.591245,0.785000,4.24
15,0.754541,0.798750,0.588541,0.784000,4.25
16,0.751961,0.799250,0.585251,0.786000,4.25
17,0.750246,0.801667,0.584076,0.785500,4.24
18,0.749328,0.800333,0.583553,0.787000,4.24
19,0.748282,0.799750,0.583024,0.792500,4.22
20,0.745725,0.803417,0.576094,0.789500,4.23
