epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.220369,0.503500,1.042984,0.713000,4.220842e-01,106.51
2,1.040825,0.709250,0.943662,0.698500,2.637527e-01,106.58
3,1.005942,0.703917,0.931810,0.701500,2.548017e-01,105.68
4,0.995855,0.711333,0.919551,0.719000,2.501940e-01,105.09
5,0.983025,0.729583,0.905494,0.749500,2.505699e-01,105.76
6,0.971957,0.751333,0.896620,0.772500,2.371569e-01,105.27
7,0.940991,0.818083,0.841673,0.879500,2.196089e-01,105.34
8,0.904363,0.896667,0.816290,0.912500,2.161867e-01,104.64
9,0.890625,0.906333,0.809816,0.910500,2.193241e-01,104.66
10,0.886247,0.909667,0.804829,0.902000,2.287594e-01,105.39
11,0.883838,0.907083,0.803030,0.907000,2.262543e-01,105.58
12,0.882634,0.907417,0.802082,0.906500,2.323490e-01,106.43
13,0.880236,0.907417,0.796013,0.902500,2.316310e-01,105.30
14,0.875404,0.904750,0.789352,0.901000,2.429820e-01,106.05
15,0.870578,0.904167,0.783755,0.900000,2.478524e-01,105.53
16,0.867082,0.903167,0.780168,0.902000,2.419973e-01,105.49
17,0.865157,0.902333,0.778556,0.902000,2.506315e-01,104.29
18,0.864129,0.902333,0.777714,0.901500,2.501753e-01,105.28
19,0.862688,0.899833,0.773426,0.895000,2.578333e-01,105.49
20,0.859956,0.899250,0.771247,0.902000,2.401633e-01,105.34
