epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.125821,0.638083,0.626424,0.817500,8.808303e-01,179.66
2,0.699364,0.850500,0.484490,0.866500,6.051466e-01,178.31
3,0.632044,0.883417,0.436181,0.888000,5.227460e-01,178.46
4,0.608569,0.894250,0.415247,0.895500,4.869623e-01,179.67
5,0.598287,0.901000,0.407324,0.902500,4.736919e-01,181.12
6,0.593630,0.902250,0.403992,0.902500,4.726524e-01,179.52
7,0.586008,0.907417,0.384038,0.910500,4.753933e-01,179.51
8,0.574885,0.913250,0.374472,0.915500,4.623081e-01,179.45
9,0.567508,0.917833,0.367324,0.921500,4.449160e-01,180.55
10,0.562422,0.920750,0.361414,0.920500,4.379084e-01,179.52
11,0.559331,0.922000,0.359222,0.921000,4.304158e-01,179.61
12,0.557618,0.922833,0.358594,0.920500,4.322857e-01,178.18
13,0.555221,0.924917,0.354574,0.924000,4.309445e-01,177.40
14,0.550458,0.925917,0.348767,0.925000,4.299326e-01,187.51
15,0.546754,0.928500,0.344094,0.926500,4.171388e-01,217.43
16,0.544350,0.928333,0.343402,0.929500,4.049355e-01,224.88
17,0.542972,0.929250,0.342680,0.931000,4.063006e-01,263.13
18,0.542162,0.930417,0.341696,0.929500,4.074127e-01,286.36
19,0.541820,0.929750,0.341273,0.929000,4.151128e-01,276.23
20,0.539879,0.930917,0.339052,0.934000,4.040665e-01,276.36
