epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.746200,0.321250,1.263602,0.527500,8.026888e-01,92.05
2,1.240623,0.552917,1.162827,0.605500,6.034170e-01,91.65
3,1.143105,0.682417,1.030950,0.758000,5.331738e-01,92.49
4,1.046368,0.759333,0.951682,0.760000,4.579381e-01,91.20
5,1.001828,0.776500,0.917645,0.796500,4.321771e-01,92.72
6,0.981825,0.790000,0.902408,0.806500,4.171604e-01,92.47
7,0.940483,0.807333,0.822497,0.820000,3.863707e-01,92.17
8,0.882108,0.817500,0.762217,0.824000,3.509043e-01,92.22
9,0.843775,0.819833,0.725010,0.820000,3.126182e-01,92.00
10,0.824484,0.814833,0.707811,0.820500,2.861234e-01,92.13
11,0.816298,0.816083,0.700580,0.818500,2.888597e-01,91.80
12,0.812893,0.815083,0.697658,0.818500,2.859964e-01,92.39
13,0.807945,0.812083,0.686792,0.817000,2.836851e-01,92.56
14,0.802601,0.812583,0.680509,0.814000,2.845974e-01,92.25
15,0.800068,0.808917,0.677098,0.815000,2.802164e-01,91.94
16,0.798598,0.810583,0.675596,0.815000,2.768625e-01,92.38
17,0.797898,0.808583,0.674708,0.815500,2.764457e-01,92.28
18,0.797433,0.808417,0.674127,0.815000,2.718182e-01,92.06
19,0.797265,0.808083,0.672295,0.811000,2.831110e-01,92.72
20,0.796330,0.808500,0.671399,0.813000,2.786231e-01,91.87
