epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.081511,0.610000,0.768574,0.766000,5.943759e-01,299.96
2,0.794852,0.801417,0.600774,0.834000,5.340562e-01,294.65
3,0.712302,0.844583,0.539021,0.860000,5.069178e-01,295.33
4,0.678785,0.859083,0.511536,0.868000,4.874773e-01,292.62
5,0.663033,0.865917,0.500143,0.871500,4.717687e-01,298.99
6,0.655759,0.867583,0.494557,0.872000,4.614671e-01,297.00
7,0.644195,0.873000,0.470041,0.876000,4.571776e-01,285.29
8,0.629813,0.881917,0.457361,0.879000,4.414632e-01,294.50
9,0.622051,0.885583,0.450194,0.879000,4.272401e-01,290.79
10,0.617522,0.887000,0.447911,0.881000,4.217042e-01,292.87
11,0.615160,0.887750,0.443980,0.879500,4.227070e-01,291.39
12,0.613700,0.887417,0.443379,0.881000,4.153751e-01,289.21
13,0.612076,0.888167,0.439912,0.882000,4.159577e-01,289.47
14,0.608279,0.889250,0.436221,0.883000,4.171763e-01,289.47
15,0.604403,0.892667,0.430805,0.885500,4.065575e-01,294.62
16,0.601344,0.893083,0.427460,0.889000,3.982249e-01,285.92
17,0.599028,0.894750,0.425993,0.885500,3.933477e-01,302.23
18,0.597854,0.895000,0.425238,0.889000,3.911965e-01,284.02
19,0.596216,0.896583,0.421320,0.894000,3.927482e-01,284.89
20,0.592134,0.899417,0.416109,0.897000,3.923566e-01,291.53
