epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.454051,0.283833,1.280096,0.313000,6.843558e-01,137.08
2,1.196153,0.460750,1.108048,0.586500,5.726663e-01,149.31
3,1.013226,0.653917,0.966390,0.735000,4.878476e-01,166.13
4,0.918560,0.766667,0.913633,0.786000,4.237701e-01,150.83
5,0.884008,0.818333,0.894460,0.804500,4.022279e-01,142.65
6,0.870518,0.826083,0.887104,0.804000,3.910909e-01,145.99
7,0.850435,0.827917,0.858647,0.806500,4.030019e-01,175.18
8,0.831145,0.830250,0.847229,0.801500,3.858007e-01,316.87
9,0.822314,0.828583,0.839121,0.810000,3.887708e-01,266.18
10,0.816119,0.830167,0.833350,0.810500,3.587235e-01,171.20
11,0.811046,0.831167,0.829043,0.809500,3.812189e-01,158.43
12,0.807476,0.830917,0.826106,0.811000,3.666103e-01,168.03
13,0.795053,0.831500,0.800657,0.810500,3.648708e-01,162.79
14,0.764607,0.832250,0.769470,0.820000,3.677317e-01,175.42
15,0.740567,0.838583,0.752506,0.820500,3.592365e-01,163.60
16,0.727497,0.841667,0.743566,0.827500,3.483396e-01,162.81
17,0.720109,0.844333,0.738652,0.825000,3.405268e-01,163.67
18,0.716190,0.846000,0.736609,0.824000,3.455013e-01,159.75
19,0.708336,0.847333,0.724265,0.824500,3.411798e-01,167.39
20,0.695101,0.849917,0.712899,0.820500,3.291190e-01,167.33
