epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.049170,0.599667,0.796012,0.702500,5.811583e-01,200.19
2,0.837445,0.757500,0.671917,0.782500,4.032353e-01,200.18
3,0.762974,0.800667,0.604972,0.819000,3.846355e-01,200.74
4,0.727577,0.825167,0.577699,0.839000,3.747235e-01,199.73
5,0.710991,0.842250,0.563364,0.851500,3.671728e-01,202.64
6,0.701986,0.850917,0.556093,0.857500,3.669698e-01,200.44
7,0.682330,0.864833,0.515533,0.877500,3.681302e-01,199.96
8,0.656361,0.879167,0.495139,0.888000,3.603839e-01,199.94
9,0.642742,0.884917,0.484937,0.892500,3.475700e-01,200.40
10,0.635442,0.888917,0.478602,0.895000,3.461022e-01,199.67
11,0.631496,0.891250,0.474498,0.897000,3.426249e-01,200.68
12,0.629559,0.891750,0.472070,0.896500,3.487017e-01,199.70
13,0.626634,0.894333,0.464125,0.898000,3.452834e-01,199.58
14,0.621831,0.896333,0.460809,0.898500,3.424513e-01,200.12
15,0.618513,0.897750,0.459919,0.901500,3.434655e-01,200.61
16,0.616255,0.899500,0.454084,0.899500,3.391641e-01,199.62
17,0.614899,0.899167,0.453829,0.901000,3.377393e-01,199.48
18,0.614086,0.899750,0.453551,0.901000,3.344203e-01,199.97
19,0.613489,0.900583,0.451681,0.904000,3.325724e-01,199.63
20,0.611341,0.900083,0.450428,0.901000,3.281031e-01,200.74
