epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.159527,0.499417,1.043934,0.612000,1.324718e-01,37.44
2,1.057995,0.650500,0.984895,0.702000,1.723998e-01,37.42
3,1.023881,0.720333,0.966522,0.734500,1.909358e-01,37.44
4,1.015062,0.733667,0.961651,0.744000,1.852034e-01,37.32
5,1.012498,0.740250,0.959832,0.744500,1.822810e-01,37.39
6,1.011552,0.742333,0.959195,0.748500,1.829814e-01,37.36
7,1.010268,0.747167,0.956812,0.752000,1.827172e-01,37.44
8,1.008599,0.746417,0.954834,0.768500,1.945838e-01,37.27
9,1.006779,0.756250,0.951674,0.761500,1.889062e-01,37.35
10,1.004882,0.752250,0.949401,0.763000,1.969350e-01,37.36
11,1.003138,0.753250,0.947516,0.756000,2.004295e-01,37.30
12,1.002165,0.751750,0.946854,0.762000,1.979416e-01,37.39
13,1.000618,0.750167,0.943410,0.754500,1.982421e-01,37.26
14,0.998777,0.744583,0.941726,0.754000,2.082913e-01,37.35
15,0.997671,0.738750,0.940702,0.740500,2.032529e-01,37.38
16,0.996998,0.737583,0.939893,0.744500,2.010669e-01,37.39
17,0.996439,0.734167,0.939341,0.743500,2.065359e-01,37.27
18,0.996162,0.732500,0.939127,0.743000,2.149902e-01,37.39
