ansatz,encoding,seed,n_params,timestamp,n_epochs_trained,chunk_id,test_offset,test_size,train_acc_final,val_acc_best,val_acc_final,best_epoch,best_val_loss,test_loss,test_acc,cm_00,cm_01,cm_02,cm_03,cm_10,cm_11,cm_12,cm_13,cm_20,cm_21,cm_22,cm_23,cm_30,cm_31,cm_32,cm_33
hur8,e3,42,24,2026-05-27T14:44:38,1,base,0,2000,0.235000,0.165500,0.165500,1,1.994127,2.006104,0.166000,10,10,242,238,0,0,286,214,2,22,93,383,0,6,265,229
hur8,e1,42,40,2026-05-27T14:48:47,1,base,0,2000,0.250000,0.250000,0.250000,1,4.473273,4.476464,0.250000,500,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0
hur8,custom,42,56,2026-05-27T14:49:22,1,base,0,2000,0.270000,0.230000,0.230000,1,2.035030,2.050294,0.233000,279,136,17,68,343,94,25,38,197,293,7,3,192,148,74,86
hur8,e3,40,24,2026-05-27T23:19:12,30,base,0,2000,0.858083,0.854000,0.855500,28,0.838381,0.834084,0.854500,433,44,7,16,27,470,0,3,0,0,475,25,60,3,106,331
hur6,e1,42,32,2026-05-30T14:03:32,20,base,0,2000,0.785500,0.759000,0.759000,20,0.797934,0.790847,0.760000,306,84,82,28,10,456,1,33,0,0,457,43,7,61,131,301
hur8,e1,42,40,2026-05-30T14:42:43,20,base,0,2000,0.788500,0.761500,0.761500,20,0.865435,0.851093,0.780500,300,70,92,38,15,400,82,3,0,2,495,3,30,38,66,366
hur9,e1,42,46,2026-05-30T15:21:24,20,base,0,2000,0.803917,0.788500,0.776500,16,0.711218,0.686912,0.805000,302,64,58,76,19,462,15,4,0,0,500,0,24,16,114,346
custom_ansatz,e1,42,55,2026-05-30T16:19:49,20,base,0,2000,0.849917,0.820500,0.820500,20,0.712899,0.692740,0.844000,329,102,53,16,14,476,6,4,0,0,492,8,18,5,86,391
custom_ansatz,custom,56,71,2026-05-31T09:22:10,20,base,0,2000,0.767333,0.751500,0.754000,19,0.645988,0.620212,0.783500,359,79,42,20,73,414,11,2,0,0,495,5,18,19,164,299
custom_ansatz,e1,56,55,2026-05-31T11:57:29,20,base,0,2000,0.856667,0.840000,0.840000,20,0.695854,0.677036,0.862000,352,90,49,9,20,467,10,3,0,0,495,5,10,2,78,410
