epoch,train_loss,train_acc,val_loss,val_acc,time_sec
1,0.555513,0.928333,0.225813,0.970500,3.94
2,0.457387,0.972333,0.199959,0.975000,3.96
3,0.448200,0.976333,0.195511,0.977000,3.95
4,0.443488,0.976917,0.189810,0.978500,3.97
5,0.440869,0.977833,0.189989,0.978000,3.94
6,0.439428,0.978667,0.187629,0.978500,3.95
7,0.438707,0.978833,0.184874,0.980500,3.96
8,0.435350,0.979917,0.179694,0.981500,3.95
9,0.433451,0.980083,0.177124,0.980500,3.95
10,0.431781,0.981000,0.176330,0.983500,3.94
11,0.430714,0.981750,0.176782,0.983000,3.97
12,0.429995,0.981917,0.176014,0.983000,3.93
13,0.430876,0.980500,0.177275,0.983000,3.94
14,0.429381,0.981333,0.176623,0.983000,3.95
15,0.428678,0.981083,0.172961,0.984500,3.96
16,0.427490,0.982000,0.175711,0.981500,3.95
17,0.426789,0.982333,0.175321,0.982000,3.96
18,0.426314,0.982167,0.173363,0.983500,3.95
19,0.427321,0.982083,0.174575,0.985000,3.95
20,0.426693,0.981917,0.168340,0.983000,3.97
