epoch,train_loss,train_acc,val_loss,val_acc,time_sec
1,0.474267,0.957250,0.148593,0.975000,4.15
2,0.402451,0.976750,0.135824,0.982500,4.13
3,0.397378,0.980583,0.132118,0.980500,4.16
4,0.392792,0.981333,0.134994,0.981000,4.14
5,0.389284,0.983333,0.133236,0.981500,4.12
6,0.387767,0.984583,0.129380,0.983000,4.13
7,0.391730,0.982500,0.128435,0.982000,4.13
8,0.390429,0.983167,0.128403,0.983000,4.12
9,0.386028,0.985500,0.125110,0.984500,4.09
10,0.384017,0.985167,0.126448,0.984000,4.11
11,0.382231,0.986000,0.122861,0.984500,4.07
12,0.380140,0.987000,0.122638,0.985500,4.11
13,0.384636,0.984833,0.122833,0.985500,4.12
14,0.381921,0.985667,0.120768,0.983500,4.08
15,0.380471,0.987333,0.124433,0.983500,4.09
16,0.378598,0.987667,0.118756,0.984500,4.10
17,0.377325,0.987000,0.123775,0.985500,4.08
18,0.375874,0.988250,0.118250,0.985500,4.10
19,0.381126,0.986500,0.130805,0.982000,4.11
20,0.379442,0.986833,0.120350,0.986000,4.11
