epoch,train_loss,train_acc,val_loss,val_acc,time_sec
1,1.293137,0.444417,1.155542,0.598500,4.02
2,1.080341,0.702417,0.932824,0.783500,4.05
3,0.942405,0.783833,0.811682,0.786000,4.02
4,0.878426,0.789250,0.755298,0.773500,4.05
5,0.850093,0.791250,0.728312,0.804500,4.05
6,0.837778,0.796333,0.717310,0.797500,4.03
7,0.816876,0.797500,0.666586,0.806000,4.04
8,0.792097,0.802917,0.636373,0.815500,4.04
9,0.777952,0.805500,0.619242,0.815000,4.04
10,0.770013,0.809500,0.609747,0.816000,4.02
11,0.765507,0.807833,0.605180,0.816000,4.02
12,0.763355,0.808250,0.602816,0.816000,4.02
13,0.760384,0.809667,0.592226,0.817500,4.03
14,0.754402,0.812000,0.584458,0.815500,4.05
15,0.750203,0.814583,0.579374,0.812000,4.03
16,0.747322,0.814583,0.576192,0.820500,4.00
17,0.745470,0.815417,0.572735,0.819500,4.00
18,0.744479,0.815500,0.571845,0.820500,4.03
19,0.743589,0.817167,0.568963,0.826500,4.04
