epoch,train_loss,train_acc,val_loss,val_acc,time_sec
1,0.993667,0.689083,0.560006,0.882000,0.36
2,0.640078,0.891917,0.386896,0.898500,0.36
3,0.592401,0.902333,0.350506,0.905500,0.37
4,0.580756,0.906500,0.339325,0.907500,0.36
5,0.576195,0.907750,0.334689,0.909000,0.37
6,0.574244,0.908583,0.332813,0.910500,0.37
7,0.571465,0.909750,0.327373,0.913000,0.37
8,0.568174,0.909833,0.322032,0.914000,0.37
9,0.566099,0.910250,0.320915,0.913500,0.37
10,0.565075,0.911000,0.320036,0.915000,0.37
11,0.564329,0.911333,0.319965,0.916500,0.37
12,0.564016,0.911833,0.319511,0.915500,0.37
13,0.563956,0.911750,0.317710,0.917000,0.37
14,0.563361,0.911750,0.317390,0.916500,0.37
15,0.562873,0.912083,0.316568,0.917000,0.37
16,0.562474,0.911250,0.316525,0.915500,0.37
17,0.562096,0.912000,0.316659,0.916500,0.37
18,0.561940,0.913000,0.316221,0.917000,0.37
19,0.562168,0.912083,0.316372,0.916000,0.37
20,0.562081,0.912083,0.315692,0.915500,0.37
