epoch,train_loss,train_acc,val_loss,val_acc,time_sec
1,0.901473,0.745833,0.420450,0.923500,21.43
2,0.568276,0.923167,0.318581,0.926500,20.90
3,0.544279,0.926333,0.297486,0.925500,20.91
4,0.537910,0.925917,0.292866,0.928000,21.34
5,0.534621,0.926417,0.290279,0.928500,21.00
6,0.533038,0.926250,0.289669,0.929000,20.75
7,0.531512,0.926417,0.286058,0.927000,20.72
8,0.527351,0.927417,0.281993,0.930000,20.71
9,0.524104,0.928833,0.278304,0.933500,20.71
10,0.521444,0.930250,0.276071,0.933500,20.69
11,0.519591,0.930167,0.275023,0.934000,20.71
12,0.518685,0.930583,0.274723,0.935500,20.72
13,0.518202,0.931167,0.272444,0.935000,20.71
14,0.515979,0.932583,0.269621,0.937500,20.72
15,0.513415,0.933667,0.265412,0.937500,20.71
16,0.512060,0.935250,0.265089,0.940000,20.71
17,0.510781,0.935833,0.264125,0.939500,20.71
18,0.510066,0.935750,0.263618,0.938500,20.74
19,0.510366,0.935917,0.261427,0.939500,20.73
20,0.509382,0.935250,0.265399,0.939000,20.70
